order_item_id,order_id,product_id,quantity,discount
1,1,146,5,20
2,1,2,1,5
3,2,51,5,10
4,2,193,1,0
5,2,114,3,20
6,3,35,2,10
7,3,200,2,10
8,3,120,5,15
9,4,200,2,0
10,4,6,5,5
11,5,117,4,15
12,5,113,1,5
13,6,105,3,5
14,6,137,5,5
15,7,128,5,20
16,7,112,5,10
17,7,121,5,15
18,7,43,4,5
19,8,79,4,5
20,8,13,1,0
21,8,192,2,5
22,8,32,1,20
23,9,143,1,20
24,9,189,3,0
25,9,186,2,20
26,10,7,3,15
27,10,19,2,10
28,11,173,2,20
29,11,122,3,0
30,11,13,3,5
31,12,93,3,10
32,12,181,4,5
33,12,11,1,20
34,13,114,1,10
35,13,39,4,10
36,13,135,1,5
37,14,12,5,20
38,14,161,3,15
39,14,170,5,5
40,15,133,3,10
41,15,155,4,10
42,15,136,3,5
43,15,177,3,0
44,16,148,3,0
45,16,171,4,5
46,16,74,3,20
47,17,75,2,20
48,17,192,3,20
49,17,99,1,10
50,17,64,1,15
51,18,22,5,5
52,18,11,3,5
53,18,146,4,0
54,18,21,1,5
55,19,83,4,15
56,20,162,5,5
57,21,47,2,5
58,22,51,2,20
59,22,142,5,10
60,22,88,1,0
61,23,98,5,0
62,23,167,3,5
63,23,161,1,10
64,23,33,5,15
65,24,170,4,10
66,25,62,1,15
67,26,54,2,15
68,26,111,3,15
69,27,97,2,5
70,28,160,3,5
71,28,151,4,20
72,29,193,5,15
73,29,81,5,5
74,29,17,1,15
75,29,38,5,15
76,30,180,5,10
77,30,184,3,20
78,30,88,5,0
79,31,56,2,20
80,32,189,2,20
81,32,117,1,15
82,32,140,3,15
83,33,48,4,10
84,34,156,1,20
85,35,119,3,0
86,35,84,2,15
87,35,107,4,20
88,35,159,5,15
89,36,87,5,15
90,36,55,3,15
91,37,16,3,10
92,37,126,1,0
93,38,7,5,15
94,38,133,3,5
95,39,79,4,0
96,39,27,3,0
97,39,126,4,0
98,39,109,1,20
99,40,128,4,0
100,40,6,4,15
101,41,155,3,20
102,41,7,2,15
103,41,76,5,0
104,42,42,2,20
105,43,177,3,0
106,43,167,2,10
107,43,81,1,15
108,44,162,2,15
109,44,180,4,15
110,44,191,4,0
111,45,6,2,10
112,45,84,1,20
113,45,10,3,0
114,45,47,3,10
115,46,119,4,5
116,47,133,3,10
117,47,67,2,10
118,47,98,1,10
119,48,2,3,20
120,48,182,1,5
121,48,47,1,0
122,48,30,3,5
123,49,101,5,15
124,49,7,1,0
125,49,42,3,20
126,49,110,2,10
127,50,56,1,5
128,51,24,4,15
129,51,94,5,0
130,52,91,2,10
131,53,106,5,10
132,53,63,2,0
133,53,2,1,5
134,53,36,3,15
135,54,177,5,10
136,54,35,2,5
137,54,80,1,10
138,55,162,4,10
139,55,141,1,20
140,55,128,4,10
141,55,12,4,20
142,56,12,2,5
143,56,200,3,5
144,57,188,1,20
145,57,178,3,20
146,57,130,2,10
147,58,24,1,20
148,58,176,5,5
149,58,31,4,20
150,59,5,5,20
151,60,52,2,0
152,60,84,4,10
153,60,185,2,5
154,61,183,5,15
155,62,144,5,5
156,62,57,4,15
