order_id,customer_id,order_date,payment_method,order_status
1,728,2025-11-23,Debit Card,Delivered
2,346,2025-07-17,Debit Card,Delivered
3,954,2024-03-12,COD,Cancelled
4,930,2025-05-11,UPI,Cancelled
5,819,2024-12-02,COD,Delivered
6,898,2025-09-02,Debit Card,Cancelled
7,860,2025-08-06,Debit Card,Delivered
8,657,2025-03-04,Debit Card,Delivered
9,51,2025-08-10,UPI,Delivered
10,809,2025-04-10,UPI,Cancelled
11,120,2024-10-10,Debit Card,Delivered
12,385,2025-02-24,Debit Card,Delivered
13,566,2024-11-21,Credit Card,Delivered
14,290,2024-07-09,Credit Card,Delivered
15,839,2024-06-05,UPI,Delivered
16,440,2024-12-11,UPI,Delivered
17,280,2024-05-23,UPI,Delivered
18,810,2025-03-09,UPI,Delivered
19,620,2025-09-16,UPI,Delivered
20,354,2025-04-23,UPI,Delivered
21,976,2024-06-12,Credit Card,Delivered
22,626,2024-02-10,Credit Card,Cancelled
23,929,2025-06-23,Debit Card,Delivered
24,185,2025-04-05,Credit Card,Delivered
25,711,2025-01-10,UPI,Delivered
26,809,2025-04-04,COD,Delivered
27,387,2024-02-11,UPI,Delivered
28,243,2025-12-17,UPI,Cancelled
29,629,2024-05-27,COD,Cancelled
30,920,2025-06-03,UPI,Delivered
31,776,2024-11-24,Credit Card,Cancelled
32,300,2024-09-01,Credit Card,Cancelled
33,83,2024-06-06,COD,Delivered
34,175,2024-11-30,COD,Cancelled
35,930,2024-01-22,COD,Delivered
36,624,2024-08-01,COD,Cancelled
37,424,2025-02-23,UPI,Delivered
38,913,2025-07-27,Credit Card,Delivered
39,521,2025-03-07,UPI,Delivered
40,363,2025-09-13,Debit Card,Delivered
41,374,2024-04-07,Credit Card,Delivered
42,616,2025-09-13,COD,Delivered
43,207,2024-08-03,Credit Card,Cancelled
44,713,2025-09-05,Credit Card,Delivered
45,990,2025-03-03,COD,Delivered
46,439,2024-07-24,COD,Delivered
47,313,2024-04-21,Credit Card,Delivered
48,206,2024-02-27,Credit Card,Delivered
49,454,2025-02-09,UPI,Delivered
50,277,2024-11-29,Debit Card,Cancelled
51,867,2024-10-24,Debit Card,Cancelled
52,410,2024-11-13,Credit Card,Cancelled
53,60,2024-12-25,COD,Cancelled
54,118,2024-04-21,COD,Delivered
55,618,2024-05-14,Debit Card,Delivered
56,237,2025-06-15,Debit Card,Delivered
57,377,2024-06-28,Debit Card,Delivered
58,541,2025-04-12,Credit Card,Delivered
59,125,2024-10-30,Debit Card,Cancelled
60,3,2025-02-28,Debit Card,Cancelled
61,126,2024-07-27,COD,Delivered
62,299,2024-06-01,Debit Card,Cancelled
63,210,2025-11-16,UPI,Delivered
64,968,2025-07-16,Debit Card,Cancelled
65,600,2025-08-10,UPI,Cancelled
66,175,2025-02-16,COD,Delivered
67,894,2025-06-26,Credit Card,Cancelled
68,232,2025-10-03,Credit Card,Cancelled
69,122,2025-04-16,Credit Card,Cancelled
70,921,2024-04-20,Credit Card,Delivered
71,414,2024-08-27,Credit Card,Delivered
72,916,2024-02-24,COD,Delivered
73,794,2025-09-16,COD,Delivered
74,763,2024-10-20,Credit Card,Cancelled
75,205,2024-12-16,UPI,Cancelled
76,655,2025-09-07,Debit Card,Delivered
77,702,2024-04-12,Credit Card,Delivered
78,505,2024-06-11,COD,Delivered
79,648,2024-06-13,Debit Card,Delivered
80,949,2025-02-14,Debit Card,Delivered
